~~~~~~~~~~~~~~~
Text File : monsname_deu.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	Ei
ZKN_FORM_783_000	
ZKN_FORM_784_000	
ZKN_FORM_785_000	
ZKN_FORM_786_000	
ZKN_FORM_787_000	
ZKN_FORM_788_000	
ZKN_FORM_789_000	
ZKN_FORM_790_000	
ZKN_FORM_791_000	
ZKN_FORM_792_000	
ZKN_FORM_793_000	
ZKN_FORM_794_000	
ZKN_FORM_795_000	
ZKN_FORM_796_000	
ZKN_FORM_797_000	
ZKN_FORM_798_000	
ZKN_FORM_799_000	
ZKN_FORM_800_000	
ZKN_FORM_801_000	
ZKN_FORM_802_000	
ZKN_FORM_803_000	
ZKN_FORM_804_000	
ZKN_FORM_805_000	
ZKN_FORM_806_000	
ZKN_FORM_807_000	
ZKN_FORM_808_000	
ZKN_FORM_809_000	
ZKN_FORM_810_000	
ZKN_FORM_811_000	
ZKN_FORM_812_000	
ZKN_FORM_813_000	
ZKN_FORM_814_000	
ZKN_FORM_815_000	
ZKN_FORM_816_000	
ZKN_FORM_817_000	
ZKN_FORM_818_000	
ZKN_FORM_819_000	
ZKN_FORM_820_000	
ZKN_FORM_821_000	
ZKN_FORM_822_000	
ZKN_FORM_823_000	
ZKN_FORM_824_000	
ZKN_FORM_825_000	
ZKN_FORM_826_000	
ZKN_FORM_827_000	
ZKN_FORM_828_000	
ZKN_FORM_829_000	
ZKN_FORM_830_000	
ZKN_FORM_831_000	
ZKN_FORM_832_000	
ZKN_FORM_833_000	
ZKN_FORM_834_000	
ZKN_FORM_835_000	
ZKN_FORM_836_000	
ZKN_FORM_837_000	
ZKN_FORM_838_000	
ZKN_FORM_839_000	
ZKN_FORM_840_000	
ZKN_FORM_841_000	
ZKN_FORM_842_000	
ZKN_FORM_843_000	
ZKN_FORM_844_000	
ZKN_FORM_845_000	
ZKN_FORM_846_000	
ZKN_FORM_847_000	
ZKN_FORM_848_000	
ZKN_FORM_849_000	Hoch-Form
ZKN_FORM_850_000	
ZKN_FORM_851_000	
ZKN_FORM_852_000	
ZKN_FORM_853_000	
ZKN_FORM_854_000	
ZKN_FORM_855_000	
ZKN_FORM_856_000	
ZKN_FORM_857_000	
ZKN_FORM_858_000	
ZKN_FORM_859_000	
ZKN_FORM_860_000	
ZKN_FORM_861_000	
ZKN_FORM_862_000	
ZKN_FORM_863_000	
ZKN_FORM_864_000	
ZKN_FORM_865_000	
ZKN_FORM_866_000	
ZKN_FORM_867_000	
ZKN_FORM_868_000	
ZKN_FORM_869_000	Vanille-Creme
ZKN_FORM_870_000	
ZKN_FORM_871_000	
ZKN_FORM_872_000	
ZKN_FORM_873_000	
ZKN_FORM_874_000	
ZKN_FORM_875_000	Tiefkühlkopf
ZKN_FORM_876_000	Männlich
ZKN_FORM_877_000	Pappsattmuster
ZKN_FORM_878_000	
ZKN_FORM_879_000	
ZKN_FORM_880_000	
ZKN_FORM_881_000	
ZKN_FORM_882_000	
ZKN_FORM_883_000	
ZKN_FORM_884_000	
ZKN_FORM_885_000	
ZKN_FORM_886_000	
ZKN_FORM_887_000	
ZKN_FORM_888_000	Heldenhafter Krieger
ZKN_FORM_889_000	Heldenhafter Krieger
ZKN_FORM_890_000	
ZKN_FORM_003_001	Mega-Bisaflor
ZKN_FORM_006_001	Mega-Glurak X
ZKN_FORM_006_002	Mega-Glurak Y
ZKN_FORM_006_999	Gigadynamax
ZKN_FORM_009_001	Mega-Turtok
ZKN_FORM_012_999	Gigadynamax
ZKN_FORM_015_001	Mega-Bibor
ZKN_FORM_018_001	Mega-Tauboss
ZKN_FORM_019_001	Alola-Form
ZKN_FORM_020_001	Alola-Form
ZKN_FORM_020_002	
ZKN_FORM_025_001	Original-Kappe
ZKN_FORM_025_002	Hoenn-Kappe
ZKN_FORM_025_003	Sinnoh-Kappe
ZKN_FORM_025_004	Einall-Kappe
ZKN_FORM_025_005	Kalos-Kappe
ZKN_FORM_025_006	Alola-Kappe
ZKN_FORM_025_007	Partner-Kappe
ZKN_FORM_025_008	
ZKN_FORM_025_999	Gigadynamax
ZKN_FORM_026_001	Alola-Form
ZKN_FORM_027_001	Alola-Form
ZKN_FORM_028_001	Alola-Form
ZKN_FORM_037_001	Alola-Form
ZKN_FORM_038_001	Alola-Form
ZKN_FORM_050_001	Alola-Form
ZKN_FORM_051_001	Alola-Form
ZKN_FORM_052_001	Alola-Form
ZKN_FORM_052_002	Galar-Form
ZKN_FORM_052_999	Gigadynamax
ZKN_FORM_053_001	Alola-Form
ZKN_FORM_065_001	Mega-Simsala
ZKN_FORM_068_999	Gigadynamax
ZKN_FORM_074_001	Alola-Form
ZKN_FORM_075_001	Alola-Form
ZKN_FORM_076_001	Alola-Form
ZKN_FORM_077_001	Galar-Form
ZKN_FORM_078_001	Galar-Form
ZKN_FORM_079_001	Galar-Form
ZKN_FORM_080_001	Mega-Lahmus
ZKN_FORM_083_001	Galar-Form
ZKN_FORM_088_001	Alola-Form
ZKN_FORM_089_001	Alola-Form
ZKN_FORM_094_001	Mega-Gengar
ZKN_FORM_094_999	Gigadynamax
ZKN_FORM_099_999	Gigadynamax
ZKN_FORM_103_001	Alola-Form
ZKN_FORM_105_001	Alola-Form
ZKN_FORM_105_002	
ZKN_FORM_110_001	Galar-Form
ZKN_FORM_115_001	Mega-Kangama
ZKN_FORM_122_001	Galar-Form
ZKN_FORM_127_001	Mega-Pinsir
ZKN_FORM_130_001	Mega-Garados
ZKN_FORM_131_999	Gigadynamax
ZKN_FORM_133_001	
ZKN_FORM_133_999	Gigadynamax
ZKN_FORM_142_001	Mega-Aerodactyl
ZKN_FORM_143_999	Gigadynamax
ZKN_FORM_150_001	Mega-Mewtu X
ZKN_FORM_150_002	Mega-Mewtu Y
ZKN_FORM_181_001	Mega-Ampharos
ZKN_FORM_201_001	Eine Form
ZKN_FORM_201_002	Eine Form
ZKN_FORM_201_003	Eine Form
ZKN_FORM_201_004	Eine Form
ZKN_FORM_201_005	Eine Form
ZKN_FORM_201_006	Eine Form
ZKN_FORM_201_007	Eine Form
ZKN_FORM_201_008	Eine Form
ZKN_FORM_201_009	Eine Form
ZKN_FORM_201_010	Eine Form
ZKN_FORM_201_011	Eine Form
ZKN_FORM_201_012	Eine Form
ZKN_FORM_201_013	Eine Form
ZKN_FORM_201_014	Eine Form
ZKN_FORM_201_015	Eine Form
ZKN_FORM_201_016	Eine Form
ZKN_FORM_201_017	Eine Form
ZKN_FORM_201_018	Eine Form
ZKN_FORM_201_019	Eine Form
ZKN_FORM_201_020	Eine Form
ZKN_FORM_201_021	Eine Form
ZKN_FORM_201_022	Eine Form
ZKN_FORM_201_023	Eine Form
ZKN_FORM_201_024	Eine Form
ZKN_FORM_201_025	Eine Form
ZKN_FORM_201_026	Eine Form
ZKN_FORM_201_027	Eine Form
ZKN_FORM_208_001	Mega-Stahlos
ZKN_FORM_212_001	Mega-Scherox
ZKN_FORM_214_001	Mega-Skaraborn
ZKN_FORM_222_001	Galar-Form
ZKN_FORM_229_001	Mega-Hundemon
ZKN_FORM_248_001	Mega-Despotar
ZKN_FORM_254_001	Mega-Gewaldro
ZKN_FORM_257_001	Mega-Lohgock
ZKN_FORM_260_001	Mega-Sumpex
ZKN_FORM_263_001	Galar-Form
ZKN_FORM_264_001	Galar-Form
ZKN_FORM_282_001	Mega-Guardevoir
ZKN_FORM_302_001	Mega-Zobiris
ZKN_FORM_303_001	Mega-Flunkifer
ZKN_FORM_306_001	Mega-Stolloss
ZKN_FORM_308_001	Mega-Meditalis
ZKN_FORM_310_001	Mega-Voltenso
ZKN_FORM_319_001	Mega-Tohaido
ZKN_FORM_323_001	Mega-Camerupt
ZKN_FORM_334_001	Mega-Altaria
ZKN_FORM_351_001	Sonnenform
ZKN_FORM_351_002	Regenform
ZKN_FORM_351_003	Schneeform
ZKN_FORM_354_001	Mega-Banette
ZKN_FORM_359_001	Mega-Absol
ZKN_FORM_362_001	Mega-Firnontor
ZKN_FORM_373_001	Mega-Brutalanda
ZKN_FORM_376_001	Mega-Metagross
ZKN_FORM_380_001	Mega-Latias
ZKN_FORM_381_001	Mega-Latios
ZKN_FORM_382_001	Protomorphose
ZKN_FORM_383_001	Protomorphose
ZKN_FORM_384_001	Mega-Rayquaza
ZKN_FORM_386_001	Angriffsform
ZKN_FORM_386_002	Verteidigungsform
ZKN_FORM_386_003	Initiativeform
ZKN_FORM_412_001	Sandumhang
ZKN_FORM_412_002	Lumpenumhang
ZKN_FORM_413_001	Sandumhang
ZKN_FORM_413_002	Lumpenumhang
ZKN_FORM_414_001	
ZKN_FORM_414_002	
ZKN_FORM_421_001	Sonnenform
ZKN_FORM_422_001	Östliches Meer
ZKN_FORM_423_001	Östliches Meer
ZKN_FORM_428_001	Mega-Schlapor
ZKN_FORM_445_001	Mega-Knakrack
ZKN_FORM_448_001	Mega-Lucario
ZKN_FORM_460_001	Mega-Rexblisar
ZKN_FORM_475_001	Mega-Galagladi
ZKN_FORM_479_001	Hitze-Rotom
ZKN_FORM_479_002	Wasch-Rotom
ZKN_FORM_479_003	Frost-Rotom
ZKN_FORM_479_004	Wirbel-Rotom
ZKN_FORM_479_005	Schneid-Rotom
ZKN_FORM_487_001	Urform
ZKN_FORM_492_001	Zenitform
ZKN_FORM_493_001	Arceus
ZKN_FORM_493_002	Arceus
ZKN_FORM_493_003	Arceus
ZKN_FORM_493_004	Arceus
ZKN_FORM_493_005	Arceus
ZKN_FORM_493_006	Arceus
ZKN_FORM_493_007	Arceus
ZKN_FORM_493_008	Arceus
ZKN_FORM_493_009	Arceus
ZKN_FORM_493_010	Arceus
ZKN_FORM_493_011	Arceus
ZKN_FORM_493_012	Arceus
ZKN_FORM_493_013	Arceus
ZKN_FORM_493_014	Arceus
ZKN_FORM_493_015	Arceus
ZKN_FORM_493_016	Arceus
ZKN_FORM_493_017	Arceus
ZKN_FORM_521_001	
ZKN_FORM_531_001	Mega-Ohrdoch
ZKN_FORM_550_001	Blaulinige Form
ZKN_FORM_554_001	Galar-Form
ZKN_FORM_555_001	Trance-Modus
ZKN_FORM_555_002	Galar-Form
ZKN_FORM_555_003	Trance-Modus
ZKN_FORM_562_001	Galar-Form
ZKN_FORM_569_999	Gigadynamax
ZKN_FORM_585_001	Sommerform
ZKN_FORM_585_002	Herbstform
ZKN_FORM_585_003	Winterform
ZKN_FORM_586_001	Sommerform
ZKN_FORM_586_002	Herbstform
ZKN_FORM_586_003	Winterform
ZKN_FORM_592_001	
ZKN_FORM_593_001	
ZKN_FORM_618_001	Galar-Form
ZKN_FORM_641_001	Tiergeistform
ZKN_FORM_642_001	Tiergeistform
ZKN_FORM_645_001	Tiergeistform
ZKN_FORM_646_001	Weißes Kyurem
ZKN_FORM_646_002	Schwarzes Kyurem
ZKN_FORM_647_001	Resolutform
ZKN_FORM_648_001	Tanzform
ZKN_FORM_649_001	Genesect
ZKN_FORM_649_002	Genesect
ZKN_FORM_649_003	Genesect
ZKN_FORM_649_004	Genesect
ZKN_FORM_658_001	
ZKN_FORM_658_002	Ash-Form
ZKN_FORM_664_001	
ZKN_FORM_664_002	
ZKN_FORM_664_003	
ZKN_FORM_664_004	
ZKN_FORM_664_005	
ZKN_FORM_664_006	
ZKN_FORM_664_007	
ZKN_FORM_664_008	
ZKN_FORM_664_009	
ZKN_FORM_664_010	
ZKN_FORM_664_011	
ZKN_FORM_664_012	
ZKN_FORM_664_013	
ZKN_FORM_664_014	
ZKN_FORM_664_015	
ZKN_FORM_664_016	
ZKN_FORM_664_017	
ZKN_FORM_664_018	
ZKN_FORM_664_019	
ZKN_FORM_665_001	
ZKN_FORM_665_002	
ZKN_FORM_665_003	
ZKN_FORM_665_004	
ZKN_FORM_665_005	
ZKN_FORM_665_006	
ZKN_FORM_665_007	
ZKN_FORM_665_008	
ZKN_FORM_665_009	
ZKN_FORM_665_010	
ZKN_FORM_665_011	
ZKN_FORM_665_012	
ZKN_FORM_665_013	
ZKN_FORM_665_014	
ZKN_FORM_665_015	
ZKN_FORM_665_016	
ZKN_FORM_665_017	
ZKN_FORM_665_018	
ZKN_FORM_665_019	
ZKN_FORM_666_001	Schneefeldmuster
ZKN_FORM_666_002	Flockenmuster
ZKN_FORM_666_003	Kontinentalmuster
ZKN_FORM_666_004	Ziergartenmuster
ZKN_FORM_666_005	Prunkmuster
ZKN_FORM_666_006	Blumenmeermuster
ZKN_FORM_666_007	Innovationsmuster
ZKN_FORM_666_008	Aquamarinmuster
ZKN_FORM_666_009	Archipelmuster
ZKN_FORM_666_010	Dürremuster
ZKN_FORM_666_011	Sandmuster
ZKN_FORM_666_012	Flussdeltamuster
ZKN_FORM_666_013	Monsunmuster
ZKN_FORM_666_014	Savannenmuster
ZKN_FORM_666_015	Sonnenmuster
ZKN_FORM_666_016	Ozeanmuster
ZKN_FORM_666_017	Dschungelmuster
ZKN_FORM_666_018	Fantasiemuster
ZKN_FORM_666_019	Pokéball-Muster
ZKN_FORM_669_001	Gelbblütler
ZKN_FORM_669_002	Orangeblütler
ZKN_FORM_669_003	Blaublütler
ZKN_FORM_669_004	Weißblütler
ZKN_FORM_670_001	Gelbblütler
ZKN_FORM_670_002	Orangeblütler
ZKN_FORM_670_003	Blaublütler
ZKN_FORM_670_004	Weißblütler
ZKN_FORM_670_005	Ewigblütler
ZKN_FORM_671_001	Gelbblütler
ZKN_FORM_671_002	Orangeblütler
ZKN_FORM_671_003	Blaublütler
ZKN_FORM_671_004	Weißblütler
ZKN_FORM_676_001	Herzchenschnitt
ZKN_FORM_676_002	Sternchenschnitt
ZKN_FORM_676_003	Diamantenschnitt
ZKN_FORM_676_004	Fräuleinschnitt
ZKN_FORM_676_005	Damenschnitt
ZKN_FORM_676_006	Kavaliersschnitt
ZKN_FORM_676_007	Königinnenschnitt
ZKN_FORM_676_008	Kabuki-Schnitt
ZKN_FORM_676_009	Herrscherschnitt
ZKN_FORM_678_001	Weiblich
ZKN_FORM_681_001	Klingenform
ZKN_FORM_710_001	Größe S
ZKN_FORM_710_002	Größe L
ZKN_FORM_710_003	Größe XL
ZKN_FORM_711_001	Größe S
ZKN_FORM_711_002	Größe L
ZKN_FORM_711_003	Größe XL
ZKN_FORM_716_001	Aktiv-Modus
ZKN_FORM_718_001	10%-Form
ZKN_FORM_718_002	10%-Form
ZKN_FORM_718_003	50%-Form
ZKN_FORM_718_004	Optimumform
ZKN_FORM_719_001	Mega-Diancie
ZKN_FORM_720_001	Entfesseltes Hoopa
ZKN_FORM_735_001	
ZKN_FORM_738_001	
ZKN_FORM_741_001	Cheerleading-Stil
ZKN_FORM_741_002	Hula-Stil
ZKN_FORM_741_003	Buyo-Stil
ZKN_FORM_743_001	
ZKN_FORM_744_001	
ZKN_FORM_745_001	Nachtform
ZKN_FORM_745_002	Zwielichtform
ZKN_FORM_746_001	Schwarmform
ZKN_FORM_752_001	
ZKN_FORM_754_001	
ZKN_FORM_758_001	
ZKN_FORM_773_001	Typ:Kampf
ZKN_FORM_773_002	Typ:Flug
ZKN_FORM_773_003	Typ:Gift
ZKN_FORM_773_004	Typ:Boden
ZKN_FORM_773_005	Typ:Gestein
ZKN_FORM_773_006	Typ:Käfer
ZKN_FORM_773_007	Typ:Geist
ZKN_FORM_773_008	Typ:Stahl
ZKN_FORM_773_009	Typ:Feuer
ZKN_FORM_773_010	Typ:Wasser
ZKN_FORM_773_011	Typ:Pflanze
ZKN_FORM_773_012	Typ:Elektro
ZKN_FORM_773_013	Typ:Psycho
ZKN_FORM_773_014	Typ:Eis
ZKN_FORM_773_015	Typ:Drache
ZKN_FORM_773_016	Typ:Unlicht
ZKN_FORM_773_017	Typ:Fee
ZKN_FORM_774_001	Meteorform
ZKN_FORM_774_002	Meteorform
ZKN_FORM_774_003	Meteorform
ZKN_FORM_774_004	Meteorform
ZKN_FORM_774_005	Meteorform
ZKN_FORM_774_006	Meteorform
ZKN_FORM_774_007	Roter Kern
ZKN_FORM_774_008	Oranger Kern
ZKN_FORM_774_009	Gelber Kern
ZKN_FORM_774_010	Grüner Kern
ZKN_FORM_774_011	Hellblauer Kern
ZKN_FORM_774_012	Blauer Kern
ZKN_FORM_774_013	Violetter Kern
ZKN_FORM_777_001	
ZKN_FORM_778_001	Entlarvte Form
ZKN_FORM_778_002	
ZKN_FORM_778_003	
ZKN_FORM_784_001	
ZKN_FORM_800_001	Abendmähne
ZKN_FORM_800_002	Morgenschwingen
ZKN_FORM_800_003	Ultra-Necrozma
ZKN_FORM_801_001	Originalfarbe
ZKN_FORM_809_999	Gigadynamax
ZKN_FORM_823_999	Gigadynamax
ZKN_FORM_826_999	Gigadynamax
ZKN_FORM_834_999	Gigadynamax
ZKN_FORM_839_999	Gigadynamax
ZKN_FORM_841_999	Gigadynamax
ZKN_FORM_842_999	Gigadynamax
ZKN_FORM_844_999	Gigadynamax
ZKN_FORM_845_001	Schlingform
ZKN_FORM_845_002	Stopfform
ZKN_FORM_849_001	Tief-Form
ZKN_FORM_849_999	Gigadynamax
ZKN_FORM_851_999	Gigadynamax
ZKN_FORM_854_001	
ZKN_FORM_855_001	
ZKN_FORM_858_999	Gigadynamax
ZKN_FORM_861_999	Gigadynamax
ZKN_FORM_869_001	Ruby-Creme
ZKN_FORM_869_002	Matcha-Creme
ZKN_FORM_869_003	Minz-Creme
ZKN_FORM_869_004	Zitronen-Creme
ZKN_FORM_869_005	Salz-Creme
ZKN_FORM_869_006	Ruby-Mix
ZKN_FORM_869_007	Karamell-Mix
ZKN_FORM_869_008	Trio-Mix
ZKN_FORM_869_999	Gigadynamax
ZKN_FORM_875_001	Wohlfühlkopf
ZKN_FORM_876_001	Weiblich
ZKN_FORM_877_001	Kohldampfmuster
ZKN_FORM_879_999	Gigadynamax
ZKN_FORM_884_999	Gigadynamax
ZKN_FORM_888_001	König des Schwertes
ZKN_FORM_889_001	König des Schildes
ZKN_FORM_890_001	Unendynamax
ZKN_FORM_890_999	Unendynamax

~~~~~~~~~~~~~~~
Text File : zkn_height_deu.msbt
~~~~~~~~~~~~~~~
ZKN_HEIGHT_000_000	???,? m
ZKN_HEIGHT_001_000	0,7 m
ZKN_HEIGHT_002_000	1,0 m
ZKN_HEIGHT_003_000	2,0 m
ZKN_HEIGHT_004_000	0,6 m
ZKN_HEIGHT_005_000	1,1 m
ZKN_HEIGHT_006_000	1,7 m
ZKN_HEIGHT_007_000	0,5 m
ZKN_HEIGHT_008_000	1,0 m
ZKN_HEIGHT_009_000	1,6 m
ZKN_HEIGHT_010_000	0,3 m
ZKN_HEIGHT_011_000	0,7 m
ZKN_HEIGHT_012_000	1,1 m
ZKN_HEIGHT_013_000	0,3 m
ZKN_HEIGHT_014_000	0,6 m
ZKN_HEIGHT_015_000	1,0 m
ZKN_HEIGHT_016_000	0,3 m
ZKN_HEIGHT_017_000	1,1 m
ZKN_HEIGHT_018_000	1,5 m
ZKN_HEIGHT_019_000	0,3 m
ZKN_HEIGHT_020_000	0,7 m
ZKN_HEIGHT_021_000	0,3 m
ZKN_HEIGHT_022_000	1,2 m
ZKN_HEIGHT_023_000	2,0 m
ZKN_HEIGHT_024_000	3,5 m
ZKN_HEIGHT_025_000	0,4 m
ZKN_HEIGHT_026_000	0,8 m
ZKN_HEIGHT_027_000	0,6 m
ZKN_HEIGHT_028_000	1,0 m
ZKN_HEIGHT_029_000	0,4 m
ZKN_HEIGHT_030_000	0,8 m
ZKN_HEIGHT_031_000	1,3 m
ZKN_HEIGHT_032_000	0,5 m
ZKN_HEIGHT_033_000	0,9 m
ZKN_HEIGHT_034_000	1,4 m
ZKN_HEIGHT_035_000	0,6 m
ZKN_HEIGHT_036_000	1,3 m
ZKN_HEIGHT_037_000	0,6 m
ZKN_HEIGHT_038_000	1,1 m
ZKN_HEIGHT_039_000	0,5 m
ZKN_HEIGHT_040_000	1,0 m
ZKN_HEIGHT_041_000	0,8 m
ZKN_HEIGHT_042_000	1,6 m
ZKN_HEIGHT_043_000	0,5 m
ZKN_HEIGHT_044_000	0,8 m
ZKN_HEIGHT_045_000	1,2 m
ZKN_HEIGHT_046_000	0,3 m
ZKN_HEIGHT_047_000	1,0 m
ZKN_HEIGHT_048_000	1,0 m
ZKN_HEIGHT_049_000	1,5 m
ZKN_HEIGHT_050_000	0,2 m
ZKN_HEIGHT_051_000	0,7 m
ZKN_HEIGHT_052_000	0,4 m
ZKN_HEIGHT_053_000	1,0 m
ZKN_HEIGHT_054_000	0,8 m
ZKN_HEIGHT_055_000	1,7 m
ZKN_HEIGHT_056_000	0,5 m
ZKN_HEIGHT_057_000	1,0 m
ZKN_HEIGHT_058_000	0,7 m
ZKN_HEIGHT_059_000	1,9 m
ZKN_HEIGHT_060_000	0,6 m
ZKN_HEIGHT_061_000	1,0 m
ZKN_HEIGHT_062_000	1,3 m
ZKN_HEIGHT_063_000	0,9 m
ZKN_HEIGHT_064_000	1,3 m
ZKN_HEIGHT_065_000	1,5 m
ZKN_HEIGHT_066_000	0,8 m
ZKN_HEIGHT_067_000	1,5 m
ZKN_HEIGHT_068_000	1,6 m
ZKN_HEIGHT_069_000	0,7 m
ZKN_HEIGHT_070_000	1,0 m
ZKN_HEIGHT_071_000	1,7 m
ZKN_HEIGHT_072_000	0,9 m
ZKN_HEIGHT_073_000	1,6 m
ZKN_HEIGHT_074_000	0,4 m
ZKN_HEIGHT_075_000	1,0 m
ZKN_HEIGHT_076_000	1,4 m
ZKN_HEIGHT_077_000	1,0 m
ZKN_HEIGHT_078_000	1,7 m
ZKN_HEIGHT_079_000	1,2 m
ZKN_HEIGHT_080_000	1,6 m
ZKN_HEIGHT_081_000	0,3 m
ZKN_HEIGHT_082_000	1,0 m
ZKN_HEIGHT_083_000	0,8 m
ZKN_HEIGHT_084_000	1,4 m
ZKN_HEIGHT_085_000	1,8 m
ZKN_HEIGHT_086_000	1,1 m
ZKN_HEIGHT_087_000	1,7 m
ZKN_HEIGHT_088_000	0,9 m
ZKN_HEIGHT_089_000	1,2 m
ZKN_HEIGHT_090_000	0,3 m
ZKN_HEIGHT_091_000	1,5 m
ZKN_HEIGHT_092_000	1,3 m
ZKN_HEIGHT_093_000	1,6 m
ZKN_HEIGHT_094_000	1,5 m
ZKN_HEIGHT_095_000	8,8 m
ZKN_HEIGHT_096_000	1,0 m
ZKN_HEIGHT_097_000	1,6 m
ZKN_HEIGHT_098_000	0,4 m
ZKN_HEIGHT_099_000	1,3 m
ZKN_HEIGHT_100_000	0,5 m
ZKN_HEIGHT_101_000	1,2 m
ZKN_HEIGHT_102_000	0,4 m
ZKN_HEIGHT_103_000	2,0 m
ZKN_HEIGHT_104_000	0,4 m
ZKN_HEIGHT_105_000	1,0 m
ZKN_HEIGHT_106_000	1,5 m
ZKN_HEIGHT_107_000	1,4 m
ZKN_HEIGHT_108_000	1,2 m
ZKN_HEIGHT_109_000	0,6 m
ZKN_HEIGHT_110_000	1,2 m
ZKN_HEIGHT_111_000	1,0 m
ZKN_HEIGHT_112_000	1,9 m
ZKN_HEIGHT_113_000	1,1 m
ZKN_HEIGHT_114_000	1,0 m
ZKN_HEIGHT_115_000	2,2 m
ZKN_HEIGHT_116_000	0,4 m
ZKN_HEIGHT_117_000	1,2 m
ZKN_HEIGHT_118_000	0,6 m
ZKN_HEIGHT_119_000	1,3 m
ZKN_HEIGHT_120_000	0,8 m
ZKN_HEIGHT_121_000	1,1 m
ZKN_HEIGHT_122_000	1,3 m
ZKN_HEIGHT_123_000	1,5 m
ZKN_HEIGHT_124_000	1,4 m
ZKN_HEIGHT_125_000	1,1 m
ZKN_HEIGHT_126_000	1,3 m
ZKN_HEIGHT_127_000	1,5 m
ZKN_HEIGHT_128_000	1,4 m
ZKN_HEIGHT_129_000	0,9 m
ZKN_HEIGHT_130_000	6,5 m
ZKN_HEIGHT_131_000	2,5 m
ZKN_HEIGHT_132_000	0,3 m
ZKN_HEIGHT_133_000	0,3 m
ZKN_HEIGHT_134_000	1,0 m
ZKN_HEIGHT_135_000	0,8 m
ZKN_HEIGHT_136_000	0,9 m
ZKN_HEIGHT_137_000	0,8 m
ZKN_HEIGHT_138_000	0,4 m
ZKN_HEIGHT_139_000	1,0 m
ZKN_HEIGHT_140_000	0,5 m
ZKN_HEIGHT_141_000	1,3 m
ZKN_HEIGHT_142_000	1,8 m
ZKN_HEIGHT_143_000	2,1 m
ZKN_HEIGHT_144_000	1,7 m
ZKN_HEIGHT_145_000	1,6 m
ZKN_HEIGHT_146_000	2,0 m
ZKN_HEIGHT_147_000	1,8 m
ZKN_HEIGHT_148_000	4,0 m
ZKN_HEIGHT_149_000	2,2 m
ZKN_HEIGHT_150_000	2,0 m
ZKN_HEIGHT_151_000	0,4 m
ZKN_HEIGHT_152_000	0,9 m
ZKN_HEIGHT_153_000	1,2 m
ZKN_HEIGHT_154_000	1,8 m
ZKN_HEIGHT_155_000	0,5 m
ZKN_HEIGHT_156_000	0,9 m
ZKN_HEIGHT_157_000	1,7 m
ZKN_HEIGHT_158_000	0,6 m
ZKN_HEIGHT_159_000	1,1 m
ZKN_HEIGHT_160_000	2,3 m
ZKN_HEIGHT_161_000	0,8 m
ZKN_HEIGHT_162_000	1,8 m
ZKN_HEIGHT_163_000	0,7 m
ZKN_HEIGHT_164_000	1,6 m
ZKN_HEIGHT_165_000	1,0 m
ZKN_HEIGHT_166_000	1,4 m
ZKN_HEIGHT_167_000	0,5 m
ZKN_HEIGHT_168_000	1,1 m
ZKN_HEIGHT_169_000	1,8 m
ZKN_HEIGHT_170_000	0,5 m
ZKN_HEIGHT_171_000	1,2 m
ZKN_HEIGHT_172_000	0,3 m
ZKN_HEIGHT_173_000	0,3 m
ZKN_HEIGHT_174_000	0,3 m
ZKN_HEIGHT_175_000	0,3 m
ZKN_HEIGHT_176_000	0,6 m
ZKN_HEIGHT_177_000	0,2 m
ZKN_HEIGHT_178_000	1,5 m
ZKN_HEIGHT_179_000	0,6 m
ZKN_HEIGHT_180_000	0,8 m
ZKN_HEIGHT_181_000	1,4 m
ZKN_HEIGHT_182_000	0,4 m
ZKN_HEIGHT_183_000	0,4 m
ZKN_HEIGHT_184_000	0,8 m
ZKN_HEIGHT_185_000	1,2 m
ZKN_HEIGHT_186_000	1,1 m
ZKN_HEIGHT_187_000	0,4 m
ZKN_HEIGHT_188_000	0,6 m
ZKN_HEIGHT_189_000	0,8 m
ZKN_HEIGHT_190_000	0,8 m
ZKN_HEIGHT_191_000	0,3 m
ZKN_HEIGHT_192_000	0,8 m
ZKN_HEIGHT_193_000	1,2 m
ZKN_HEIGHT_194_000	0,4 m
ZKN_HEIGHT_195_000	1,4 m
ZKN_HEIGHT_196_000	0,9 m
ZKN_HEIGHT_197_000	1,0 m
ZKN_HEIGHT_198_000	0,5 m
ZKN_HEIGHT_199_000	2,0 m
ZKN_HEIGHT_200_000	0,7 m
ZKN_HEIGHT_201_000	0,5 m
ZKN_HEIGHT_202_000	1,3 m
ZKN_HEIGHT_203_000	1,5 m
ZKN_HEIGHT_204_000	0,6 m
ZKN_HEIGHT_205_000	1,2 m
ZKN_HEIGHT_206_000	1,5 m
ZKN_HEIGHT_207_000	1,1 m
ZKN_HEIGHT_208_000	9,2 m
ZKN_HEIGHT_209_000	0,6 m
ZKN_HEIGHT_210_000	1,4 m
ZKN_HEIGHT_211_000	0,5 m
ZKN_HEIGHT_212_000	1,8 m
ZKN_HEIGHT_213_000	0,6 m
ZKN_HEIGHT_214_000	1,5 m
ZKN_HEIGHT_215_000	0,9 m
ZKN_HEIGHT_216_000	0,6 m
ZKN_HEIGHT_217_000	1,8 m
ZKN_HEIGHT_218_000	0,7 m
ZKN_HEIGHT_219_000	0,8 m
ZKN_HEIGHT_220_000	0,4 m
ZKN_HEIGHT_221_000	1,1 m
ZKN_HEIGHT_222_000	0,6 m
